student_id,G1,G2,G3
205,10,0,0
206,7,8,8
207,10,10,10
208,14,15,15
209,11,9,10
210,15,15,16
211,12,13,12
212,6,5,0
213,9,9,9
214,10,11,12
215,6,5,5
216,7,0,0
217,12,0,0
218,8,7,9
219,4,0,0
220,9,7,8
221,11,10,10
222,11,10,11
223,10,10,10
224,14,16,16
225,8,10,10
226,12,12,11
227,7,6,6
228,9,10,0
229,13,12,12
230,10,13,13
231,13,13,14
232,13,12,12
233,7,9,8
234,8,8,8
235,19,19,20
236,10,8,8
237,16,15,16
238,6,9,8
239,14,13,13
240,13,13,11
241,8,10,10
242,6,5,6
243,7,9,8
244,9,10,10
245,7,7,6
246,14,11,13
247,8,6,5
248,8,11,11
249,9,9,10
250,13,14,14
251,8,8,0
252,13,11,10
253,7,6,6
254,8,8,8
255,11,12,11
256,10,9,9
257,14,12,11
258,5,9,7
259,9,0,0
260,18,19,19
261,16,16,17
262,10,10,11
263,8,12,12
264,12,12,13
265,6,5,6
266,9,8,8
267,10,8,9
268,18,18,18
269,15,14,15
270,9,10,9
271,7,9,0
272,7,6,0
273,10,9,9
274,10,10,10
275,10,10,11
276,10,11,9
277,11,15,15
278,12,10,10
279,18,18,18
280,12,10,11
281,14,15,15
282,6,6,6
283,16,15,15
284,17,17,17
285,8,7,0
286,3,5,5
287,14,15,15
288,12,14,14
289,11,12,13
290,10,9,9
291,11,8,8
292,14,12,13
293,16,16,15
294,8,7,6
295,17,18,18
296,6,5,5
297,7,8,8
298,16,15,15
299,10,9,9
300,10,10,10
301,10,9,9
302,18,19,19
303,14,13,13
304,8,8,10
305,8,0,0
306,14,15,15
307,17,16,17
308,5,0,0
309,15,15,15
310,14,13,14
311,11,9,9
312,11,10,10
313,17,17,18
314,11,12,13
315,11,11,11
316,8,9,8
317,9,9,9
318,14,13,13
319,10,9,10
320,12,12,13
321,12,11,11
322,8,8,9
323,12,13,13
324,13,11,11
325,16,15,15
326,12,12,11
327,6,0,0
328,11,12,11
329,8,9,8
330,14,14,14
331,11,11,10
332,7,7,7
333,13,15,16
334,15,15,15
335,11,10,10
336,12,12,12
337,8,10,11
338,9,8,8
339,15,16,16
340,8,8,6
341,11,9,9
342,7,8,10
343,18,16,16
344,8,10,10
345,6,8,8
346,6,6,4
347,7,10,10
348,17,15,15
349,13,11,11
350,10,12,12
351,9,9,10
352,9,8,7
353,10,8,9
354,15,14,14
355,13,11,11
356,13,11,11
357,9,9,9
358,16,18,18
359,11,0,0
360,13,15,15
361,11,10,10
362,9,9,0
363,16,15,17
364,16,18,18
365,6,5,0
366,16,16,16
367,12,15,15
368,11,12,11
369,12,10,11
370,8,8,10
371,13,13,13
372,10,10,0
373,10,11,11
374,11,14,14
375,11,11,12
376,15,16,15
377,8,10,9
378,6,7,8
379,7,6,7
380,7,9,8
381,15,15,15
382,13,14,15
383,16,15,15
384,15,16,18
385,10,9,0
386,10,11,11
387,9,11,12
388,10,13,13
389,13,13,12
390,16,18,19
391,10,13,14
392,15,13,13
393,15,15,15
394,16,17,17
